Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
芽,,,,芽,a,a,nga4,yá,ガ,め,4,,아,싹,H,,,bud,艸,8
我,,,,我,a,a,ngo 5 ,wǒ,ガ,われ、わ,6,,아,나,M,"ngã, ngả",pn,I,戈,7
牙,,,,牙,a,a,nga 4 ,yá,ガ、（ゲ）,きば,S,2010,아,어금니,H,"nha, ngà, nga",n,tusk,牙,4
亞,亚,亜,,亜,a,a,"a 3 , nga 3 ",yà,ア,0,S,,아,버금,H,"á, a",n,sub-,二,7
雅,,,,雅,a,a,"a 1 , nga 5 ","yā, yǎ",ガ,0,S,,아,우아할,H,nhã,desc,gracious,隹,13
餓,饿,,,餓,a,a,ngo 6 ,è,ガ,0,S,,아,굶주릴,H,,,starve,食,15
愛,爱,,,愛,ai,ai,"ngoi 3 , oi 3 ",ài,アイ,0,4,,애,사랑,M,,,love,心,13
哀,,,,哀,ai,ai,oi 1 ,āi,アイ,あわ-れ、あわ-れむ,S,,애,슬플,M,,,pathetic,口,9
挨,,,,挨,ai,ai,aai 1 ,"āi, ái",アイ,0,S,2010,0,0,0,,,push open,手,10
曖,暧,,,曖,ai,ai,"oi 2 , oi 3 ",ài,アイ,0,S,2010,0,0,0,,,not clear,日,17
喝,,,,喝,"ai, hatu","ai, hatu",hot 3 ,"hè, hē",カツ,0,S,1981,0,0,0,,,hoarse,口,11
涯,,,,涯,"ai, i","ai, i",ngaai 4 ,yá,ガイ,0,S,1981,애,물가,H,,,horizon,水,11
崖,,,,崖,"ai, i","ai, i",ngaai 4 ,yá,ガイ,がけ,S,2010,0,0,0,,,cliff,山,11
額,额,,,額,aku,aku,ngaak 6 ,é,ガク,ひたい,5,,액,이마,H,,,amount,頁,18
厄,,,,厄,aku,aku,"aak 1 , ak 1 ",è,ヤク,0,S,1981,액,재앙,H,,,unlucky,厂,4
岳,,,,岳,aku,aku,ngok 6 ,yuè,ガク,たけ,S,,악,큰 산,H,,,point,山,8
握,,,,握,aku,aku,"aak 1 , ak 1 ",wò,アク,にぎ-る,S,,0,0,0,,,grip,手,12
顎,颚,,,顎,aku,aku,ngok 6 ,è,ガク,あご,S,2010,0,0,0,,,jaw,頁,18
惡,恶,悪,,悪,"aku, uo","aku, o","ngok 3 , ok 3 , wu 1 , wu 3 ","è, wù, ě, wū",アク、オ,わる-い,3,,악,악할,M,"ác, ố",desc,bad,心,11
岩,岩,岩,巖,岩,amu,amu,ngaam 4 ,yán,ガン,いわ,2,,암,바위,M,"nham, nhàm, nhem",n,boulder,山,8
暗,,,,暗,amu,amu,"am 3 , ngam 3 ",àn,アン,くら-い,3,,암,어두울,M,ám,,dark,日,13
闇,,,,闇,amu,amu,"am 2 , am 3 ",àn,0,やみ,S,2010,0,0,0,,,darkness,門,17
顏,颜,顔,顔,顔,an,an,ngaan 4 ,yán,ガン,かお,2,,안,얼굴,M,"nhan,  nhăn",n,face,頁,18
安,,,,安,an,an,"ngon 1 , on 1 ",ān,アン,やす-い,3,,안,편안할,M,"an, yên",,cheap,宀,6
